SNO,District Name,Total Scheme,Total Village,10 Lakh Scheme,10 Lakh Village,Total Fund Released,Agreement Cost,Expenditure Till Date,Fund Returned Hq,Balance Fund,OHT Repaired Count,OHT Repaired Cost,TW Repaired Count,TW Repaired Cost,TW Rebore Count,TW Rebore Cost,TW Total Cost,PH Repaired Count,PH Repaired Cost,SQ Repaired Count,SQ Repaired Cost,BW Repaired Meters,BW Repaired Cost,PP New Count,PP New Cost,PP Repaired Count,PP Repaired Cost,DS Existing Repair,DS Replacement,DS New Extended,FHTC Total,FHTC Repair Count,FHTC Repair Cost,FHTC New Count,FHTC New Cost,Road Bituminous,Road CC,Road BOE,Road Interlocking,Road Total,Campus Repaired Count,Campus Repaired Cost,Chlorination Cost,Other Work Cost,Unnamed: 45_level_0
1,Gorakhpur,301,853,147.0,390.0,3655.85,3512.7,3503.88,64.33,9.0,2.0,1.0,2.0,0.5,,,,1.0,0.5,1.0,0.75,1.0,0.5,1.0,0.25,,,3492.92,8.97,2.8,25.0,8760.0,0.5,,,9.9,,0.5,,,1.0,0.25,0.25,,
2,Kushi Nagar,195,504,147.0,375.0,3412.61,2141.6,2113.99,1298.57,0.53,,,,,,,,,,,,,,,,119.0,61.41,654.0,426.44,,,13870.0,408.76,,,131.56,133.5,117.21,181.13,561.28,,,,,
3,Deoria,200,396,143.0,283.0,2688.18,2626.79,2618.25,20.28,0.0,3.0,1.5,2.0,0.5,0.0,,,2.0,1.0,3.0,2.0,11.9,1.0,1.0,0.25,1.0,7.85,2452.28,71.4,71.9,,3521.0,3.5,25.0,0.75,3.0,2.75,3.0,2.6,,2.0,1.0,0.5,,
4,Etawah,97,143,95.0,138.0,426.59,338.52,346.68,79.89,0.0,1.0,1.94,2.0,5.0,,,1.47,0.0,,,,,,5.0,5.39,51.0,10.95,57.89,35.72,0.0,32739.0,2614.0,29.52,0.0,0.0,4.17,40.72,0.91,23.73,65.94,0.0,0.0,15.68,30.9,
5,Bahraich,192,267,90.0,123.0,1272.26,1180.39,1159.75,66.99,0.0,36.0,14.24,0.0,,,,,,,,,,,,,,,224.97,8.74,,,191.0,75.14,52.0,2.01,,,0.07,0.21,37.38,36.0,5.04,2.14,400.6,
6,Gonda,152,254,85.0,159.0,999.02,993.88,992.81,1.07,5.14,90.0,27.13,,,,,,88.0,68.48,27.0,27.41,0.0,22.36,,,87.0,42.24,370.04,66.06,,,10531.0,106.8,3819.0,130.21,,,,,,,,6.2,125.79,
7,Basti,125,382,69.0,209.0,1142.53,1323.54,1328.26,16.17,0.0,,,1.0,,,,,,,,,,,,,46.0,11.9,284.2,440.73,46.58,15441.0,13588.0,196.48,2001.0,73.61,,41.35,93.04,93.12,222.45,,,27.6,1.12,
8,Sant Kabeer Nagar,85,182,64.0,143.0,1422.83,1422.83,1422.79,0.0,0.0,68.0,85.29,0.0,0.0,0.0,0.0,0.0,64.0,49.92,115.0,114.31,2257.0,73.08,0.0,0.0,68.0,52.05,613.84,125.56,72.84,14998.0,7287.0,78.98,2009.0,61.76,1.61,1.08,27.13,30.71,59.12,66.0,6.23,8.88,23.04,
9,Maharajganj,77,110,44.0,45.0,259.7,227.93,246.47,12.02,0.0,43.0,20.94,,,,,,0.0,,,,,,,,35.0,11.66,16.95,0.0,56.77,1545.0,793.0,8.98,748.0,19.16,1.73,16.71,5.9,10.18,32.74,42.0,2.35,13.79,8.09,
10,Pratapgarh,145,225,39.0,39.0,338.8,338.8,337.69,1.11,0.0,39.0,26.99,39.0,10.89,39.0,8.96,19.85,,0.25,,,,,39.0,10.19,39.0,10.84,86.97,34.65,13.31,,,,338.0,13.26,29.83,22.33,30.41,14.49,97.09,39.0,9.19,,15.34,
