admin_unit_id,admin_unit_name,amount_inr_crore,status,data_freshness_days,fhtc_work_item_count,total_village_count,per_target_household,state_average_per_target_household,denominator_validation_status,denominator_review_note,source_timestamp
176,Gorakhpur,3503.88,reported_by_jjm_up_expenditure_only,30,25.0,853,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
kushi_nagar,Kushi Nagar,2113.99,reported_by_jjm_up_expenditure_only,30,,504,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
deoria,Deoria,2618.25,reported_by_jjm_up_expenditure_only,30,,396,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
etawah,Etawah,346.68,reported_by_jjm_up_expenditure_only,30,32739.0,143,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
bahraich,Bahraich,1159.75,reported_by_jjm_up_expenditure_only,30,,267,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
gonda,Gonda,992.81,reported_by_jjm_up_expenditure_only,30,,254,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
basti,Basti,1328.26,reported_by_jjm_up_expenditure_only,30,15441.0,382,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
sant_kabeer_nagar,Sant Kabeer Nagar,1422.79,reported_by_jjm_up_expenditure_only,30,14998.0,182,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
maharajganj,Maharajganj,246.47,reported_by_jjm_up_expenditure_only,30,1545.0,110,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
pratapgarh,Pratapgarh,337.69,reported_by_jjm_up_expenditure_only,30,,225,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
ghazipur,Ghazipur,206.57,reported_by_jjm_up_expenditure_only,30,2176.0,464,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
mau,Mau,391.49,reported_by_jjm_up_expenditure_only,30,,124,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
jaunpur,Jaunpur,182.93,reported_by_jjm_up_expenditure_only,30,,72,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
firozabad,Firozabad,216.13,reported_by_jjm_up_expenditure_only,30,1781.0,106,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
etah,Etah,256.78,reported_by_jjm_up_expenditure_only,30,5099.0,83,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
